[167]  Copy from new code forward, StartingX =   620 , Starting Y = 636 , length =  12  
[175]  Copy from old code forward, StartingX =   648 , Starting Y = 648 , length =  40  
[176]  Download:    000C [42A8] 
[177]  Download:    0011 [42A9] 
[178]  Download:    0082 [42AA] 
[179]  Download:    004F [42AB] 
[180]  Download:    000E [42AC] 
[188]  Copy from old code forward, StartingX =   693 , Starting Y = 693 , length =  9  
[189]  Download:    0008 [42B6] 
[190]  Download:    0011 [42B7] 
[191]  Download:    0082 [42B8] 
[192]  Download:    0049 [42B9] 
[193]  Download:    000A [42BA] 
[201]  Copy from old code forward, StartingX =   707 , Starting Y = 707 , length =  11  
[202]  Download:    0008 [42C6] 
[203]  Download:    0011 [42C7] 
[204]  Download:    000C [42C8] 
[205]  Download:    0011 [42C9] 
[206]  Download:    0092 [42CA] 
[207]  Download:    0062 [42CB] 
[208]  Download:    000A [42CC] 
[209]  Download:    0011 [42CD] 
[210]  Download:    000E [42CE] 
[211]  Download:    0011 [42CF] 
[212]  Download:    0082 [42D0] 
[213]  Download:    0043 [42D1] 
[214]  Download:    0008 [42D2] 
[215]  Download:    0011 [42D3] 
[216]  Download:    0082 [42D4] 
[217]  Download:    0043 [42D5] 
[218]  Download:    000A [42D6] 
[226]  Copy from old code forward, StartingX =   735 , Starting Y = 735 , length =  99  
[227]  Download:    0010 [433A] 
[228]  Download:    0011 [433B] 
[229]  Download:    001B [433C] 
[230]  Download:    0042 [433D] 
[231]  Download:    0012 [433E] 
[239]  Copy from old code forward, StartingX =   839 , Starting Y = 839 , length =  167  
[240]  Download:    0004 [43E6] 
[241]  Download:    0011 [43E7] 
[242]  Download:    00F2 [43E8] 
[243]  Download:    0043 [43E9] 
[244]  Download:    0036 [43EA] 
[245]  Download:    0011 [43EB] 
[246]  Download:    00F2 [43EC] 
[247]  Download:    0043 [43ED] 
[248]  Download:    0037 [43EE] 
[256]  Copy from old code forward, StartingX =   1015 , Starting Y = 1015 , length =  47  
[257]  Download:    0018 [441E] 
[265]  Copy from old code forward, StartingX =   1063 , Starting Y = 1063 , length =  79  
[266]  Download:    0034 [446E] 
[274]  Copy from old code forward, StartingX =   1143 , Starting Y = 1143 , length =  95  
[275]  Download:    00E4 [44CE] 
[283]  Copy from old code forward, StartingX =   1239 , Starting Y = 1239 , length =  11  
[284]  Download:    00E4 [44DA] 
[292]  Copy from old code forward, StartingX =   1251 , Starting Y = 1251 , length =  11  
[293]  Download:    00E4 [44E6] 
[301]  Copy from old code forward, StartingX =   1263 , Starting Y = 1263 , length =  17  
[302]  Download:    009C [44F8] 
[310]  Copy from old code forward, StartingX =   1281 , Starting Y = 1281 , length =  41  
[311]  Download:    0036 [4522] 
[312]  Download:    0011 [4523] 
[313]  Download:    0010 [4524] 
[314]  Download:    0024 [4525] 
[315]  Download:    005E [4526] 
[316]  Download:    0042 [4527] 
[317]  Download:    0036 [4528] 
[318]  Download:    0011 [4529] 
[319]  Download:    005F [452A] 
[320]  Download:    0042 [452B] 
[321]  Download:    0036 [452C] 
[322]  Download:    0011 [452D] 
[323]  Download:    00D2 [452E] 
[324]  Download:    004F [452F] 
[325]  Download:    0004 [4530] 
[326]  Download:    0011 [4531] 
[327]  Download:    0036 [4532] 
[328]  Download:    0011 [4533] 
[329]  Download:    00F2 [4534] 
[330]  Download:    0093 [4535] 
[331]  Download:    0036 [4536] 
[332]  Download:    0011 [4537] 
[333]  Download:    0002 [4538] 
[334]  Download:    0020 [4539] 
[335]  Download:    00F2 [453A] 
[336]  Download:    0043 [453B] 
[337]  Download:    0037 [453C] 
[338]  Download:    0011 [453D] 
[339]  Download:    004F [453E] 
[340]  Download:    004E [453F] 
[341]  Download:    00FF [4540] 
